damage,enemies,structures_destroyed,danger_percent
406,1,5,65.61
573,2,7,88.36
98,6,7,63.18
546,15,1,61.94
461,30,8,100.0
4,9,3,28.98
217,18,3,56.29
502,27,1,80.24
397,16,0,47.5
392,27,6,100.0
206,18,2,48.15
14,36,3,61.59
553,22,8,100.0
460,19,5,87.55
574,12,0,55.26
240,12,8,86.59
563,42,8,100.0
95,10,4,46.27
484,14,7,100.0
406,16,6,90.91
230,27,7,98.73
170,18,8,87.59
540,3,1,45.27
35,21,4,47.01
524,21,7,100.0
159,36,2,68.92
242,38,5,100.0
85,33,5,77.52
577,32,6,100.0
556,43,2,100.0
573,41,7,100.0
27,39,7,95.47
555,32,8,100.0
339,11,7,79.21
330,1,2,48.49
505,27,5,100.0
347,9,8,93.54
472,21,0,66.38
230,16,2,48.75
189,25,1,54.31
224,2,7,63.4
384,6,5,66.46
376,43,7,100.0
282,7,1,36.83
258,19,5,78.01
358,11,6,82.48
455,34,7,100.0
410,16,8,97.77
317,27,4,81.42
224,40,2,77.62
233,9,1,32.61
373,21,7,100.0
471,37,0,86.83
232,32,5,94.84
112,21,1,39.3
496,43,2,100.0
441,36,7,100.0
563,12,0,61.93
267,26,5,81.55
509,14,2,77.8
385,21,5,92.21
386,29,2,82.49
112,42,7,100.0
80,39,4,81.34
112,36,3,67.55
1,33,8,91.12
219,43,4,88.52
565,33,3,100.0
224,34,7,100.0
384,41,7,100.0
402,18,7,100.0
129,7,3,36.39
52,38,0,48.75
415,32,1,78.19
246,43,3,83.42
438,27,1,72.88
202,36,2,62.42
183,24,8,93.1
122,35,8,100.0
400,16,8,100.0
293,23,6,87.66
279,20,3,65.98
197,1,0,12.66
510,30,2,89.79
143,43,7,100.0
200,32,3,81.28
123,29,1,51.35
186,11,7,74.22
325,43,6,100.0
463,11,8,99.03
348,23,1,63.39
402,23,4,83.66
345,10,5,75.72
510,12,1,67.98
146,26,1,50.71
147,7,3,40.07
488,9,7,88.62
550,7,4,81.39
337,19,8,97.19
472,7,3,63.99
150,8,2,38.44
414,6,7,89.94
297,13,0,37.49
262,27,8,100.0
143,1,3,29.34
345,42,8,100.0
571,7,7,97.04
1,12,2,21.03
303,20,2,63.97
253,27,8,100.0
452,34,2,92.2
36,22,3,44.96
159,45,8,100.0
8,14,3,37.15
232,1,2,33.02
98,11,6,59.45
207,35,5,89.9
130,2,0,19.64
403,4,7,84.24
151,2,0,22.36
53,18,3,50.42
119,1,5,50.03
586,43,5,100.0
419,36,6,100.0
421,16,4,77.15
103,13,4,43.19
253,27,3,78.12
226,26,5,80.61
111,9,6,54.46
509,2,0,41.46
472,35,8,100.0
98,37,7,94.97
152,24,6,79.07
337,21,8,100.0
162,38,2,68.89
160,29,3,73.74
579,20,6,100.0
397,29,5,100.0
276,27,1,63.97
503,30,1,82.79
391,25,6,100.0
134,42,8,100.0
194,21,8,86.06
400,20,6,96.19
32,0,7,51.2
459,36,2,91.76
469,12,0,52.43
374,20,6,90.47
21,45,7,95.67
37,8,1,12.86
229,16,8,83.37
364,20,3,75.3
562,30,8,100.0
437,38,2,90.89
282,21,7,90.2
26,11,1,20.65
225,5,2,29.57
276,15,0,41.7
283,25,4,73.55
480,4,3,67.23
452,8,0,43.27
515,45,8,100.0
546,39,5,100.0
191,13,5,64.36
48,43,1,62.09
511,41,6,100.0
16,29,8,89.45
171,25,5,78.04
219,44,7,100.0
157,28,4,73.87
476,18,1,70.95
45,7,3,34.32
372,22,0,59.89
517,41,0,91.25
98,34,5,77.4
36,30,1,42.14
279,34,5,96.9
348,31,0,68.81
496,4,2,68.62
301,15,8,98.01
180,16,1,35.42
98,31,7,87.47
115,37,5,95.21
190,31,5,84.04
252,19,6,82.15
160,1,4,36.16
255,19,3,68.96
322,17,5,80.66
127,0,7,52.56
17,28,3,50.48
565,28,4,100.0
569,18,6,100.0
322,43,5,100.0
287,39,3,91.45
154,5,3,36.76
489,43,3,100.0
385,38,0,75.76
103,45,4,86.04
392,7,7,84.74
245,23,6,86.27
175,19,4,59.21
38,13,2,34.16
476,4,0,41.4
537,40,6,100.0
407,39,2,90.95
524,33,3,100.0
505,15,4,84.73
35,44,7,100.0
19,6,6,51.31
320,15,8,100.0
511,6,2,62.22
399,26,0,58.84
470,13,0,52.12
142,13,0,22.94
91,43,1,72.17
353,32,1,81.09
50,32,6,84.0
574,43,8,100.0
189,19,7,84.42
124,35,3,72.88
149,6,1,19.23
313,31,2,74.94
569,2,4,70.4
341,38,8,100.0
304,28,7,100.0
53,23,2,52.63
443,21,8,100.0
263,5,2,41.18
52,23,7,76.19
571,39,0,99.18
4,22,3,46.1
102,37,3,73.39
195,9,5,59.07
349,15,1,50.8
46,10,6,54.83
268,31,4,76.79
369,44,5,100.0
105,5,5,48.3
119,23,5,75.89
57,32,7,89.85
345,11,3,57.42
473,26,7,100.0
116,37,8,100.0
126,17,3,47.71
392,44,0,86.73
57,38,2,64.72
512,12,0,57.27
95,39,6,93.53
117,29,0,45.69
559,40,3,100.0
600,12,0,59.86
487,33,1,81.21
236,35,0,51.34
271,29,4,81.76
188,24,6,88.92
446,1,2,52.8
580,35,7,100.0
246,17,4,63.14
75,4,4,40.79
153,18,4,59.36
434,41,7,100.0
85,17,1,29.78
284,31,1,63.42
219,20,7,83.63
68,9,8,62.31
46,36,1,49.63
93,21,3,52.55
452,12,7,93.21
203,16,1,26.51
217,8,3,50.76
473,23,0,58.7
431,43,1,94.94
340,13,6,81.92
550,45,0,100.0
288,7,0,35.43
253,36,1,67.92
356,18,3,66.77
22,27,6,79.17
521,45,3,100.0
99,40,4,82.68
179,29,3,68.1
222,6,3,43.09
441,25,8,100.0
324,39,5,100.0
515,45,2,100.0
15,45,5,88.26
335,10,6,79.47
257,13,6,75.53
496,20,7,100.0
159,7,3,40.64
474,2,0,37.46
379,27,5,92.1
544,28,7,100.0
426,22,4,86.0
267,17,2,54.9
576,34,3,100.0
416,12,7,91.19
167,11,5,59.85
42,4,4,34.63
555,38,8,100.0
284,10,2,48.01
396,10,6,86.69
11,41,8,100.0
301,30,3,80.49
252,30,2,66.34
498,12,0,62.12
34,13,8,67.73
89,44,0,53.25
417,41,1,92.5
114,24,8,89.46
195,32,4,78.79
500,32,3,95.72
492,14,8,100.0
74,15,8,77.34
412,43,1,93.26
375,37,2,88.05
419,5,2,53.6
276,43,4,100.0
393,24,2,72.24
456,14,5,79.95
191,3,1,28.85
98,3,5,45.93
547,29,5,100.0
95,33,1,55.58
189,26,5,77.34
36,30,5,71.46
368,31,5,98.61
524,43,4,100.0
278,38,6,100.0
216,8,4,47.23
272,40,0,79.2
61,7,8,68.79
595,13,2,69.09
341,32,1,71.28
396,22,5,89.91
18,20,7,72.51
176,11,1,29.82
395,1,3,52.43
444,12,1,55.94
232,3,8,71.21
75,19,1,31.79
264,13,1,46.9
454,29,4,90.33
383,28,4,92.15
563,7,6,95.63
505,11,0,52.73
366,40,1,83.99
143,37,5,92.99
68,25,1,39.12
98,1,3,26.13
395,39,5,100.0
24,13,6,61.18
468,5,4,74.61
483,41,7,100.0
564,39,5,100.0
150,30,4,77.28
143,16,3,56.35
568,24,5,100.0
38,31,5,72.56
108,11,5,58.92
41,12,0,20.48
185,18,5,77.88
397,43,0,87.19
222,24,4,73.17
132,30,6,80.86
162,36,0,53.84
214,24,0,40.18
234,15,5,68.36
587,37,6,100.0
8,42,5,83.53
73,22,4,62.33
491,13,5,88.73
252,5,2,37.55
229,24,8,99.47
518,22,4,95.73
173,42,1,71.3
167,11,6,66.16
169,12,2,37.84
392,35,0,71.63
193,38,2,83.07
516,33,8,100.0
28,5,4,28.34
164,37,6,87.05
421,39,2,93.78
338,7,3,58.51
495,7,0,45.92
364,39,2,93.01
341,32,6,100.0
499,33,3,98.37
510,43,1,100.0
326,14,4,66.75
216,35,4,84.13
300,34,1,73.98
131,45,5,96.85
69,21,3,57.86
251,22,0,49.26
414,39,2,95.44
444,44,8,100.0
181,21,6,82.18
166,4,5,49.29
90,30,0,44.33
530,12,8,100.0
38,27,8,91.6
125,19,0,33.96
450,32,5,100.0
172,15,6,80.33
219,28,1,60.67
57,22,7,76.73
475,23,7,100.0
455,33,5,100.0
360,6,8,88.84
0,37,2,59.55
386,36,1,87.5
347,3,1,34.56
189,33,5,83.52
504,41,6,100.0
190,21,5,76.18
507,4,2,60.58
368,41,4,100.0
408,22,7,100.0
116,14,5,53.78
133,30,1,49.79
57,8,6,52.7
555,42,7,100.0
172,24,3,65.62
148,24,0,41.79
79,20,1,43.88
212,8,3,45.07
202,37,6,99.07
228,21,1,54.78
226,42,5,100.0
531,22,1,81.36
440,3,6,79.96
401,28,1,62.77
46,14,2,38.19
232,0,8,74.21
304,29,3,82.43
525,28,4,93.96
142,19,8,83.51
414,32,6,100.0
512,40,7,100.0
372,43,2,100.0
565,35,3,100.0
258,21,6,84.69
470,12,3,73.71
11,6,1,16.86
329,7,5,53.88
357,27,8,100.0
407,44,1,86.21
372,42,0,81.76
7,8,7,54.5
121,24,0,38.54
347,15,0,37.45
89,9,2,29.68
315,10,4,67.66
177,30,8,100.0
539,11,1,65.7
40,30,0,33.86
501,13,0,60.72
144,43,7,100.0
200,31,1,59.23
460,16,8,99.9
557,34,8,100.0
546,0,1,47.81
252,28,2,68.14
389,3,1,41.49
593,22,5,100.0
255,27,6,91.3
449,15,5,86.36
9,11,2,33.23
241,20,2,53.65
250,44,1,82.56
4,16,1,25.23
118,39,4,78.23
373,12,7,89.74
64,31,5,77.59
145,36,8,100.0
223,14,4,66.54
238,11,3,50.56
176,14,8,78.93
281,33,4,86.81
62,5,0,6.23
216,16,4,61.61
460,19,4,84.23
104,8,4,46.83
98,4,1,10.32
510,22,5,96.77
384,32,4,92.22
404,37,1,87.97
517,13,7,98.0
475,16,5,90.61
436,18,2,68.97
22,32,8,96.33
564,0,3,67.0
457,12,2,64.44
82,45,6,97.34
144,26,7,80.81
84,5,6,52.71
77,5,0,14.28
456,32,0,68.58
0,29,4,55.87
50,45,7,100.0
445,34,2,90.76
448,22,7,100.0
487,9,2,60.46
33,18,3,36.39
347,27,6,100.0
94,22,2,41.72
71,3,3,30.95
550,19,7,100.0
153,18,3,58.5
249,41,8,100.0
437,26,3,85.91
117,33,3,61.67
305,3,4,46.25
267,37,0,68.15
53,6,6,43.3
235,6,8,77.09
388,25,8,100.0
400,25,0,64.99
302,18,5,75.6
206,8,2,32.73
228,19,3,62.58
577,41,7,100.0
74,44,3,75.57
434,15,7,95.01
102,16,3,44.76
421,21,8,100.0
305,12,5,76.21
97,11,0,16.0
334,9,1,38.03
434,0,6,83.08
446,31,6,100.0
307,29,2,73.37
248,7,0,25.47
165,20,7,84.66
480,21,6,100.0
334,17,7,93.82
541,1,0,51.44
105,43,2,71.69
562,8,1,60.01
80,2,0,9.73
132,25,4,68.42
137,20,2,48.87
183,29,7,89.8
400,27,5,98.15
329,35,8,100.0
507,25,8,100.0
68,33,5,77.67
545,7,1,54.65
52,9,8,62.42
449,42,1,82.36
204,13,2,51.91
125,39,5,91.52
42,14,1,26.19
110,16,4,51.33
182,17,1,29.96
94,31,3,61.31
373,37,2,90.1
519,22,4,97.69
359,45,5,100.0
280,22,6,88.43
194,34,7,100.0
194,38,8,100.0
92,14,3,48.0
60,23,3,50.36
50,27,6,71.88
402,15,8,98.14
4,15,1,20.56
465,39,5,100.0
533,38,7,100.0
404,5,4,60.19
512,1,4,71.01
232,12,7,79.77
523,43,0,97.29
345,8,5,71.75
45,33,8,92.19
545,16,5,95.6
77,26,6,76.86
72,28,3,55.18
248,36,0,58.62
46,42,8,100.0
120,21,5,75.45
213,23,2,55.99
238,6,3,50.67
55,33,5,74.63
349,11,5,77.18
106,22,8,90.49
47,14,3,43.87
572,32,4,100.0
336,12,4,72.79
25,22,2,42.91
256,37,1,78.23
7,31,7,76.78
252,44,8,100.0
302,34,8,100.0
55,0,4,26.65
525,44,8,100.0
473,4,3,56.18
27,12,1,20.44
77,4,2,15.96
215,31,0,60.63
385,20,4,79.87
364,23,0,65.39
525,17,0,65.61
311,20,6,89.67
6,9,1,15.44
2,23,7,69.07
362,39,5,100.0
507,20,3,83.77
273,24,8,97.28
505,22,7,100.0
14,21,2,35.49
191,3,2,39.16
484,33,3,100.0
27,5,8,60.98
38,27,8,88.04
272,30,4,82.41
230,34,8,100.0
85,38,5,90.4
473,41,7,100.0
125,22,7,78.33
536,5,6,87.55
144,15,3,47.22
524,1,3,60.94
211,23,5,81.72
24,16,8,67.87
579,44,6,100.0
393,0,4,60.35
66,5,4,36.71
232,4,7,72.43
108,44,5,94.53
145,28,0,50.07
110,11,0,15.91
227,38,8,100.0
110,2,7,56.41
469,0,5,59.33
33,26,0,29.5
368,23,1,60.29
594,43,2,100.0
553,18,2,76.01
424,7,1,45.55
517,43,1,100.0
281,1,5,49.71
319,29,6,91.04
442,29,3,88.21
314,38,0,64.93
376,44,5,100.0
288,31,6,100.0
436,0,3,57.88
276,37,5,100.0
581,12,8,100.0
502,10,3,76.62
515,9,3,62.99
349,25,4,85.72
445,19,2,69.28
349,16,1,50.63
136,16,8,84.32
242,3,0,16.04
542,4,4,67.16
39,22,4,58.05
228,45,7,100.0
547,9,5,87.61
222,45,5,100.0
5,27,5,68.28
321,32,3,86.3
467,42,0,88.1
74,25,2,44.21
3,28,5,64.64
117,26,4,69.91
503,17,0,65.95
573,39,4,100.0
440,9,1,51.5
193,41,0,63.99
391,4,3,56.68
25,9,5,42.98
434,20,6,86.14
172,23,8,98.13
299,37,4,100.0
325,2,7,71.45
409,39,7,100.0
117,30,8,96.81
224,40,2,78.17
531,36,2,100.0
112,1,8,62.38
139,1,6,48.15
558,38,3,100.0
0,41,0,52.66
89,43,6,100.0
319,33,5,100.0
549,41,2,100.0
138,19,4,67.19
510,32,2,85.23
258,3,7,72.58
9,44,4,71.88
260,43,5,100.0
171,10,1,38.42
12,41,7,98.99
167,4,8,67.98
595,24,2,87.32
320,36,5,100.0
318,33,5,99.6
328,8,1,47.35
549,5,7,93.6
418,17,4,73.39
94,13,7,69.25
580,18,7,100.0
317,13,2,48.76
235,39,4,92.79
333,16,6,83.99
375,34,4,98.03
458,28,5,99.16
136,41,1,68.53
587,16,7,100.0
546,42,4,100.0
512,7,5,80.89
295,0,0,30.57
319,44,1,87.96
571,35,3,100.0
348,6,8,92.71
228,45,5,100.0
269,4,7,71.99
290,23,1,62.98
164,27,4,75.57
4,42,0,54.7
378,16,3,76.04
77,36,0,47.68
409,19,8,100.0
573,2,1,56.02
131,36,6,91.95
600,25,2,92.27
41,14,1,32.83
88,7,3,33.03
401,12,6,84.26
295,2,6,65.7
294,0,8,74.61
525,8,2,56.94
421,30,6,100.0
22,40,5,85.01
574,25,6,100.0
142,16,6,64.94
144,33,4,72.48
224,8,8,79.64
502,12,6,85.26
103,4,6,50.26
38,40,2,57.1
197,12,0,35.64
578,0,4,69.16
390,24,7,100.0
178,3,4,48.29
553,35,2,96.65
447,9,8,94.27
499,27,1,78.05
14,5,2,19.7
288,26,3,75.12
477,11,0,48.25
230,2,3,43.29
419,45,3,100.0
156,32,8,100.0
549,9,7,97.37
440,30,1,76.96
96,14,6,60.21
410,6,5,72.73
288,35,6,100.0
253,13,3,56.39
195,13,4,64.26
597,2,5,82.13
521,45,8,100.0
516,2,1,51.1
117,21,8,85.61
158,18,0,33.76
227,34,3,78.22
215,11,4,57.52
14,4,8,54.08
156,9,5,49.92
260,40,3,90.92
156,32,1,60.97
46,12,4,47.06
323,34,7,100.0
129,31,7,96.09
410,10,5,80.15
94,37,0,55.07
291,23,7,92.94
282,34,3,78.47
68,18,1,31.99
10,5,0,6.73
253,39,6,100.0
549,44,1,95.71
133,43,3,88.63
22,41,3,69.36
345,34,0,69.09
301,3,1,39.16
362,32,0,57.98
395,12,5,76.45
217,35,2,70.81
140,42,0,60.25
209,18,7,83.13
459,42,3,100.0
355,11,6,83.29
323,10,1,48.17
132,5,5,49.25
126,11,5,50.18
105,26,6,70.28
377,40,0,72.04
50,24,0,34.24
28,41,1,58.07
461,2,1,44.94
295,2,4,50.53
296,19,0,54.53
406,27,1,68.09
404,22,5,94.93
345,2,2,43.01
419,41,3,100.0
181,23,0,46.79
0,42,4,82.25
566,39,3,100.0
370,5,7,84.3
430,19,2,71.66
308,10,0,36.67
136,31,4,74.9
201,26,0,44.53
435,20,4,83.58
312,43,8,100.0
116,12,4,53.29
574,21,1,77.24
243,34,1,61.55
536,21,8,100.0
74,27,4,51.52
385,20,7,98.32
209,45,3,90.37
474,17,1,64.28
417,30,3,96.78
346,45,3,100.0
528,36,8,100.0
178,20,5,64.17
181,13,5,61.12
24,24,4,54.77
179,26,5,74.88
500,39,0,83.6
160,22,4,57.97
176,30,5,77.48
284,28,7,100.0
62,29,3,58.69
155,25,4,66.37
468,19,3,79.72
48,37,6,91.91
83,18,5,60.76
360,26,3,81.66
147,24,5,69.67
341,39,3,91.11
475,37,7,100.0
62,22,2,51.93
359,28,7,100.0
560,14,1,70.43
326,2,5,61.59
140,9,7,73.1
214,14,0,37.1
434,15,5,76.05
317,16,8,92.34
31,18,1,31.93
284,10,0,27.57
304,4,1,32.03
428,4,4,62.24
476,13,5,85.16
285,25,0,51.65
143,7,6,57.68
423,4,3,61.44
18,6,8,59.58
17,15,5,50.32
589,13,8,100.0
370,36,0,76.9
174,40,3,78.73
193,3,1,21.19
501,35,5,100.0
112,16,3,44.59
113,35,8,100.0
221,5,2,37.71
263,15,0,37.73
54,28,0,47.17
457,35,8,100.0
161,37,8,100.0
379,36,4,91.75
86,9,1,20.74
54,40,8,99.97
475,35,7,100.0
177,28,5,81.92
390,13,6,89.94
348,3,5,65.32
7,43,4,77.25
312,41,3,91.14
442,35,6,100.0
327,44,3,100.0
53,12,8,71.18
238,45,4,100.0
228,17,7,85.51
578,32,5,100.0
50,20,3,42.84
263,15,2,50.09
417,14,5,84.24
95,4,0,17.25
87,5,1,16.19
77,37,6,81.43
287,2,3,42.87
119,11,4,52.76
490,35,0,74.86
451,32,1,76.27
499,35,3,100.0
164,32,7,96.56
181,30,3,72.36
468,20,2,69.53
6,26,2,43.38
329,26,4,88.3
150,7,2,28.63
84,36,7,100.0
146,31,4,70.61
380,25,6,100.0
547,1,7,88.97
284,11,4,57.34
81,21,7,75.19
513,16,2,75.42
522,6,6,87.93
385,42,7,100.0
470,3,6,85.94
118,36,1,54.41
395,37,7,100.0
531,31,5,100.0
260,10,2,42.2
255,0,3,44.32
225,24,6,88.04
52,41,2,64.18
499,23,0,67.48
505,42,5,100.0
363,16,2,68.87
279,7,5,64.26
592,44,2,100.0
157,26,5,77.45
58,17,3,48.28
127,26,3,61.76
114,21,1,43.73
208,15,3,55.57
525,1,3,57.76
520,4,6,81.86
551,17,4,89.2
236,2,7,71.04
280,26,6,89.54
358,16,8,100.0
200,15,7,80.71
277,5,8,86.5
234,6,0,25.75
493,13,2,61.02
3,37,4,73.23
441,39,8,100.0
28,14,7,67.39
108,32,6,82.89
74,42,1,58.49
145,26,5,71.49
127,28,3,71.27
41,36,4,71.17
355,4,4,56.55
40,28,3,55.67
33,31,3,58.07
16,5,3,33.05
152,1,1,15.8
377,5,0,40.88
587,45,1,100.0
598,42,6,100.0
341,3,0,37.21
26,28,5,68.52
286,24,3,69.92
167,8,1,29.72
267,2,2,36.38
454,25,6,98.69
400,42,5,100.0
475,26,5,100.0
557,35,7,100.0
575,31,7,100.0
129,0,5,33.51
362,15,0,50.04
291,10,6,71.8
370,25,7,100.0
28,39,4,76.99
148,0,3,29.28
295,25,6,94.79
10,27,5,66.08
511,8,5,82.64
112,43,2,67.27
186,21,3,56.3
226,7,4,54.89
309,41,8,100.0
97,26,7,89.28
54,38,2,72.31
405,18,5,89.13
68,24,0,40.21
311,37,2,85.16
288,20,6,83.9
547,23,6,100.0
147,23,1,53.91
466,18,2,69.79
243,1,6,55.48
490,13,5,82.76
506,31,6,100.0
364,41,8,100.0
481,31,7,100.0
200,27,5,81.77
153,38,3,81.23
449,39,8,100.0
500,41,6,100.0
72,39,4,73.32
295,12,1,40.87
16,11,8,67.87
216,7,6,66.76
60,14,8,76.01
41,25,8,79.33
24,11,4,41.12
38,42,6,88.34
130,45,4,92.01
497,26,2,85.88
228,17,7,79.45
107,44,7,100.0
171,35,8,100.0
434,26,5,100.0
477,8,1,53.61
101,38,2,65.41
523,0,5,73.5
274,6,0,26.08
43,25,1,40.95
16,6,7,49.43
329,6,7,71.46
568,7,5,87.22
496,15,2,70.76
11,2,1,7.5
317,44,5,100.0
591,9,0,59.24
215,6,5,52.94
338,20,8,100.0
80,36,6,95.66
484,30,8,100.0
373,22,1,57.26
199,26,4,68.02
536,21,8,100.0
465,38,6,100.0
88,26,8,82.23
267,3,5,59.59
570,23,6,100.0
488,22,4,93.24
537,18,5,98.11
46,41,0,52.62
287,2,0,22.71
15,26,1,40.96
400,2,3,60.02
85,27,8,89.2
249,16,6,74.04
390,30,5,95.16
334,9,0,34.05
518,21,4,93.45
136,29,3,56.62
497,20,4,91.52
476,35,8,100.0
593,22,2,79.65
222,37,3,77.74
371,11,7,88.7
401,24,2,73.31
442,19,2,73.24
489,41,8,100.0
272,6,4,60.02
525,28,0,74.32
158,28,6,81.31
151,12,6,61.23
187,2,5,52.8
97,1,5,41.58
130,15,2,43.93
170,29,2,63.85
182,37,8,100.0
363,5,0,30.48
38,44,6,90.76
526,6,6,85.02
496,4,7,88.3
515,6,5,84.9
348,33,7,100.0
396,31,0,67.71
160,12,0,26.19
15,29,8,85.18
492,24,3,88.02
425,20,2,71.81
107,20,5,68.29
449,27,8,100.0
310,19,3,57.89
169,33,8,100.0
545,4,4,79.94
413,17,6,90.69
250,38,2,83.16
140,42,2,73.37
273,10,2,47.54
415,16,7,93.35
38,44,5,83.94
28,21,8,82.34
476,36,8,100.0
317,19,7,93.77
244,45,0,68.61
271,5,5,60.36
439,33,3,99.25
238,13,3,61.11
376,22,2,68.21
265,19,8,89.36
358,12,1,52.9
339,43,0,77.62
388,40,2,95.81
576,31,3,100.0
2,25,3,46.13
428,13,5,82.57
141,35,0,58.51
375,7,0,37.8
323,39,1,75.0
145,21,3,49.95
292,21,6,84.47
431,15,5,83.34
584,26,8,100.0
398,9,6,77.16
343,24,4,88.46
139,30,5,74.27
186,20,8,100.0
60,26,0,42.9
379,16,8,100.0
439,32,5,99.43
318,30,3,80.72
301,41,4,97.73
343,25,0,52.34
10,20,6,64.96
61,35,7,89.09
225,0,4,41.14
152,3,1,21.45
563,3,7,91.84
570,25,6,100.0
583,3,8,100.0
574,8,3,76.78
309,29,8,100.0
242,44,3,93.07
492,3,2,57.68
365,4,2,50.53
329,44,1,86.69
106,22,2,48.78
225,15,7,81.73
217,21,7,87.51
505,36,1,86.45
258,7,1,35.3
516,32,1,87.15
53,37,6,89.25
46,42,5,87.3
520,15,0,58.67
98,4,1,18.91
19,15,0,17.31
572,6,6,93.21
489,0,5,70.74
418,8,1,50.26
61,17,1,35.78
144,44,1,67.98
215,2,7,67.49
2,23,6,66.89
159,27,0,53.2
119,9,3,38.95
88,8,3,38.92
328,12,6,79.7
579,34,1,88.07
356,22,3,72.3
266,16,0,44.0
322,45,3,97.53
540,6,0,41.52
194,15,1,39.89
331,39,1,75.41
169,35,2,69.05
520,19,7,100.0
462,23,5,100.0
39,4,5,46.57
536,44,8,100.0
260,5,7,71.73
394,27,1,66.24
225,4,5,52.56
123,38,0,51.73
37,37,8,94.13
327,1,3,52.32
250,42,3,81.53
175,38,8,100.0
453,20,2,78.22
36,39,4,77.68
315,36,0,63.94
592,17,5,93.93
113,45,2,73.85
39,11,0,18.82
300,16,5,75.71
223,36,1,63.37
317,45,7,100.0
348,37,1,85.48
114,14,3,44.51
322,6,2,46.4
567,13,8,100.0
39,0,1,7.96
39,37,2,62.56
288,2,6,65.86
261,36,3,81.55
215,43,5,100.0
146,30,2,58.89
335,42,0,76.09
167,12,5,61.95
91,17,3,39.31
352,16,1,53.56
570,16,6,100.0
570,10,4,81.32
362,19,5,82.34
556,9,5,85.98
344,28,8,100.0
169,33,1,59.64
355,16,5,80.62
190,41,8,100.0
421,12,3,70.19
6,43,5,83.42
132,38,6,100.0
556,26,0,70.91
30,25,4,54.93
534,27,3,93.81
425,12,1,56.55
393,11,1,43.34
362,43,1,83.74
436,27,6,100.0
550,1,3,60.91
81,36,5,87.66
355,33,6,100.0
257,22,8,95.36
588,44,1,100.0
523,28,8,100.0
294,34,4,91.99
223,10,5,67.38
524,32,5,100.0
45,10,2,24.91
112,8,6,61.31
232,13,6,67.07
16,8,7,58.08
359,38,4,100.0
222,2,1,31.63
447,28,2,87.05
364,18,8,100.0
325,35,5,100.0
466,31,7,100.0
413,6,7,85.99
454,27,4,94.48
585,43,0,100.0
232,17,5,77.71
223,4,6,61.07
411,22,8,100.0
571,21,1,77.71
334,25,1,56.77
221,41,0,65.53
36,11,4,48.48
277,39,1,72.46
195,18,2,58.66
483,0,1,49.83
241,2,3,42.79
323,26,2,72.28
191,17,8,84.01
16,29,1,41.52
523,1,6,87.81
400,4,2,47.34
21,28,7,85.02
473,32,3,90.23
119,41,3,73.43
209,19,8,99.13
305,29,2,72.15
269,41,6,100.0
284,4,0,32.97
226,20,6,86.06
380,14,1,57.38
459,19,5,89.74
6,7,8,59.73
28,30,5,71.99
32,11,2,31.54
78,20,0,28.21
458,29,3,91.62
569,26,3,97.29
537,43,7,100.0
481,25,6,100.0
429,32,6,100.0
284,25,6,90.87
515,25,1,73.98
98,35,8,100.0
396,39,5,100.0
488,0,1,45.95
38,14,0,18.77
270,0,0,21.88
156,10,0,25.32
74,1,3,24.06
